seed,n,lambda,events,joint_entries,factored_entries,storage_ratio,oracle_utility,source_scheme,environment_index,evidence_stream,driver_reject_penalty,tracker,utility,max_tv,update_wallclock_s,wallclock,mean_update_us,p95_update_us,peak_mem_bytes,peak_mem,belief_entries,snapshots,assignments,served,driver_rejects,passenger_rejects,sampling_rng_seed
1,3,0.5,59,4096,48,85.33333333333333,-24.529999999999998,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-49.56999999999999,5.273572188268988e-16,0.0004502,0.0004502,7.630508474576272,10.259999999999996,384,384,48,39,58,15,35,8,140501
1,3,0.5,59,4096,48,85.33333333333333,-24.529999999999998,closed-loop regeneration by fleet size,1,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-51.64,5.273572188268988e-16,0.0018904,0.0018904,32.04067796610169,42.059999999999945,32768,32768,4096,39,58,15,34,9,250501
2,3,0.5,42,4096,48,85.33333333333333,17.489999999999995,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-9.230000000000002,1.4710455076283324e-15,0.0002853,0.0002853,6.792857142857143,9.834999999999996,384,384,48,28,43,19,20,4,140502
2,3,0.5,42,4096,48,85.33333333333333,17.489999999999995,closed-loop regeneration by fleet size,2,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-8.840000000000003,1.4710455076283324e-15,0.0010945,0.0010945,26.05952380952381,29.79,32768,32768,4096,28,43,20,20,3,250502
3,3,0.5,52,4096,48,85.33333333333333,-23.95999999999999,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-42.709999999999994,1.3877787807814457e-15,0.0003932,0.0003932,7.561538461538463,11.089999999999998,384,384,48,38,53,16,32,5,140503
3,3,0.5,52,4096,48,85.33333333333333,-23.95999999999999,closed-loop regeneration by fleet size,3,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-40.38999999999999,1.3877787807814457e-15,0.0014756,0.0014756,28.37692307692308,38.694999999999986,32768,32768,4096,38,53,17,31,5,250503
4,3,0.5,61,4096,48,85.33333333333333,-44.41,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-51.71,1.0007764284408917e-15,0.000394,0.000394,6.4590163934426235,9.5,384,384,48,40,63,19,37,7,140504
4,3,0.5,61,4096,48,85.33333333333333,-44.41,closed-loop regeneration by fleet size,4,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-59.92,1.0007764284408917e-15,0.001692,0.001692,27.73770491803279,40.7,32768,32768,4096,40,63,17,39,7,250504
5,3,0.5,52,4096,48,85.33333333333333,-75.97,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-78.88,1.0690233420707074e-15,0.0003379,0.0003379,6.4980769230769235,7.9,384,384,48,35,52,5,41,6,140505
5,3,0.5,52,4096,48,85.33333333333333,-75.97,closed-loop regeneration by fleet size,5,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-75.97,1.0690233420707074e-15,0.0013832,0.0013832,26.6,29.919999999999995,32768,32768,4096,35,52,6,40,6,250505
6,3,0.5,44,4096,48,85.33333333333333,-25.509999999999998,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-37.72,1.1934897514720433e-15,0.0002926,0.0002926,6.65,8.990000000000002,384,384,48,29,44,10,26,8,140506
6,3,0.5,44,4096,48,85.33333333333333,-25.509999999999998,closed-loop regeneration by fleet size,6,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-37.339999999999996,1.1934897514720433e-15,0.0011964,0.0011964,27.190909090909088,33.0,32768,32768,4096,29,44,10,26,8,250506
7,3,0.5,64,4096,48,85.33333333333333,-71.0,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,factored,-80.45,1.7486012637846216e-15,0.0004543,0.0004543,7.0984375,10.194999999999997,384,384,48,36,65,11,48,6,140507
7,3,0.5,64,4096,48,85.33333333333333,-71.0,closed-loop regeneration by fleet size,7,nearest-policy saved assignment events; identical order across trackers,2.0,joint,-86.5,1.7486012637846216e-15,0.0017962,0.0017962,28.065625000000004,39.495,32768,32768,4096,36,65,10,51,4,250507
