sweep,n,m,method,seeds,K,beta,rho_hat,final_regret_mean,final_regret_sem,median_burn_in_all_agents,burn_in_censored_seeds,median_agent_burn_in,storage_entries,storage_theoretical_bytes,storage_allocated_bytes,planner_ms_mean,planner_ms_sem,update_us_per_event_mean,update_us_per_event_sem,planner_feasible,joint_feasible,feasible,cap_rule
s3_frontier_m16,6,16,joint_psrl_uniform,10,50,0.25,0.0011696097542561734,0.3179738888888898,0.061581349668520725,nan,10,40.0,16777216,134217728,134217728,0.3622522,0.003868228806381163,68801.10093324522,251.43224033738994,True,True,True,none
s3_frontier_m16,6,16,psrl_notype,10,50,0.25,0.0011696097542561734,5.406724259259262,0.7192844502020234,nan,10,nan,96,768,768,0.38715,0.0031313769948327097,0.0,0.0,True,True,True,none
s3_frontier_m16,7,16,oracle,10,50,0.25,0.0011696097542561734,0.0,0.0,nan,10,nan,0,0,0,2.6410600000000004,0.0069162862021217185,0.0,0.0,True,False,True,none
s3_frontier_m16,7,16,pact,10,50,0.25,0.0011696097542561734,0.38041620370370405,0.06304065058051427,nan,10,43.0,112,896,896,2.7326466,0.027755385342089118,3.3545714285714285,0.08676625101761462,True,False,True,none
s3_frontier_m16,7,16,pact_plus,10,50,0.25,0.0011696097542561734,0.036403240740741395,0.02387737538815741,nan,10,44.0,112,896,896,7.967265600000001,0.04931740284077415,4.431542857142857,0.05790015202568081,True,False,True,none
s3_frontier_m16,7,16,joint_psrl_uniform,10,50,0.25,0.0011696097542561734,nan,nan,nan,10,nan,268435456,2147483648,0,nan,nan,nan,nan,True,False,False,first_update_gt_1s
s3_frontier_m16,7,16,psrl_notype,10,50,0.25,0.0011696097542561734,6.008697222222226,0.5213061729639493,nan,10,nan,112,896,896,3.2653736,0.0522575183246294,0.0,0.0,True,False,True,none
s3_frontier_m16,8,16,oracle,10,50,0.25,0.0011696097542561734,0.0,0.0,nan,10,nan,0,0,0,19.700249999999997,0.05125395974731668,0.0,0.0,True,False,True,none
s3_frontier_m16,8,16,pact,10,50,0.25,0.0011696097542561734,0.36479656084655715,0.07903265517287447,nan,10,44.0,128,1024,1024,19.725320200000002,0.1554505582602738,4.816799999999999,0.03992015791572012,True,False,True,none
s3_frontier_m16,8,16,pact_plus,10,50,0.25,0.0011696097542561734,0.0591607142857133,0.030481128192942825,nan,10,49.0,128,1024,1024,52.5244488,0.2978223795357592,5.027900000000001,0.08457567925262015,True,False,True,none
s3_frontier_m16,8,16,joint_psrl_uniform,10,50,0.25,0.0011696097542561734,nan,nan,nan,10,nan,4294967296,34359738368,0,nan,nan,nan,nan,True,False,False,joint_table_gt_4GB
s3_frontier_m16,8,16,psrl_notype,10,50,0.25,0.0011696097542561734,7.2650746031745985,0.5567338207184759,nan,10,nan,128,1024,1024,19.156591,0.14526089085028784,0.0,0.0,True,False,True,none
