n,m,H,seed,mean_restricted_agent_first_episode,all_agent_restricted_first_episode,censored_agents,mean_error_final_preupdate,mean_proxy_half,mean_proxy_end,unique_actions,rho_global
3,8,1,50153,340.0,497.0,0,0.0,218.2664712322055,218.26647126845623,1,0.0011696097542561734
3,8,1,50154,346.0,593.0,0,7.401486830834377e-17,197.11690884727443,197.11691208008017,1,0.0011696097542561734
3,8,1,50155,263.0,366.0,0,0.0,190.97207400651635,190.9721462321077,1,0.0011696097542561734
3,8,1,50156,258.0,298.0,0,0.0,145.390432198885,145.39043227601587,1,0.0011696097542561734
3,8,1,50157,181.33333333333334,248.0,0,0.0,113.0088075631826,113.00880756997331,1,0.0011696097542561734
3,8,1,50158,379.3333333333333,673.0,0,0.0,313.93356055830856,313.93356063733034,1,0.0011696097542561734
3,8,1,50159,268.6666666666667,394.0,0,0.0,152.2635793637713,152.2635793741235,1,0.0011696097542561734
3,8,1,50160,282.6666666666667,435.0,0,0.0,245.12380345113328,245.1238185077898,1,0.0011696097542561734
3,8,1,50161,230.33333333333334,273.0,0,7.401486830834377e-17,131.92854082185218,131.95864415948654,1,0.0011696097542561734
3,8,1,50162,348.3333333333333,614.0,0,0.0,144.89575449105303,144.89575568809755,1,0.0011696097542561734
3,8,1,50163,321.3333333333333,431.0,0,0.0,196.9419683614161,196.94196836337642,1,0.0011696097542561734
3,8,1,50164,195.33333333333334,240.0,0,0.0,118.71595210448318,118.71595212351826,1,0.0011696097542561734
3,8,1,50165,162.0,420.0,0,0.0,78.22116883539906,78.22116883593311,1,0.0011696097542561734
3,8,1,50166,348.3333333333333,464.0,0,0.0,203.89037143765367,203.89037144595946,1,0.0011696097542561734
3,8,1,50167,343.6666666666667,557.0,0,0.0,189.76077475285305,189.7607747537218,1,0.0011696097542561734
3,8,1,50168,386.3333333333333,729.0,0,2.531308496145357e-14,176.5892215475166,176.58935845291194,1,0.0011696097542561734
3,8,1,50169,322.6666666666667,385.0,0,0.0,133.55808560243472,133.55808560506335,1,0.0011696097542561734
3,8,1,50170,232.33333333333334,278.0,0,0.0,137.80751233999175,137.80751333270945,1,0.0011696097542561734
3,8,1,50171,234.66666666666666,465.0,0,0.0,154.0389294382518,154.03892945479276,1,0.0011696097542561734
3,8,1,50172,282.6666666666667,423.0,0,3.197442310920451e-14,209.75988352349418,214.22764325606002,1,0.0011696097542561734
3,8,1,50173,127.33333333333333,226.0,0,0.0,57.32423258851103,57.324232596298465,1,0.0011696097542561734
3,8,1,50174,289.6666666666667,363.0,0,0.0,146.681281109671,146.68128113839091,1,0.0011696097542561734
3,8,1,50175,219.0,328.0,0,7.401486830834377e-17,129.47960738606344,129.4796076995888,1,0.0011696097542561734
3,8,1,50176,188.66666666666666,289.0,0,0.0,106.22177709418987,106.22177710441115,1,0.0011696097542561734
3,8,1,50177,439.6666666666667,987.0,0,0.0,313.76450409676715,313.764504148865,1,0.0011696097542561734
3,8,1,50178,165.33333333333334,211.0,0,0.0,103.01554890825163,103.01554890872683,1,0.0011696097542561734
3,8,1,50179,235.33333333333334,425.0,0,0.0,118.25533510392904,118.25533697864101,1,0.0011696097542561734
3,8,1,50180,326.3333333333333,446.0,0,0.0,156.53356172773522,156.53356312206756,1,0.0011696097542561734
3,8,1,50181,232.66666666666666,429.0,0,0.0,132.33148251089355,132.33148251247835,1,0.0011696097542561734
3,8,1,50182,172.66666666666666,241.0,0,0.0,82.63837768447753,82.63837768490295,1,0.0011696097542561734
3,8,1,50183,234.66666666666666,279.0,0,0.0,111.82270813836834,111.82271213548546,1,0.0011696097542561734
3,8,1,50184,246.0,362.0,0,0.0,110.0466257482526,110.04662574960928,1,0.0011696097542561734
3,8,1,50185,309.0,501.0,0,0.0,177.202137108671,177.2021420636025,1,0.0011696097542561734
3,8,1,50186,249.66666666666666,309.0,0,0.0,144.85249220439076,144.852492337794,1,0.0011696097542561734
3,8,1,50187,96.33333333333333,209.0,0,0.0,53.700586666108855,53.700586684604,1,0.0011696097542561734
3,8,1,50188,400.3333333333333,598.0,0,0.0,237.63298825269453,237.63298828556708,1,0.0011696097542561734
3,8,1,50189,274.3333333333333,365.0,0,0.0,160.84567681193312,160.8456776224813,1,0.0011696097542561734
3,8,1,50190,284.0,554.0,0,0.0,135.66142755615928,135.6614275566517,1,0.0011696097542561734
3,8,1,50191,461.0,781.0,0,0.0,283.78512834274295,283.7851289075776,1,0.0011696097542561734
3,8,1,50192,286.6666666666667,340.0,0,0.0,170.67508632471194,170.67508632889007,1,0.0011696097542561734
3,8,1,50193,241.0,255.0,0,0.0,154.7171739170242,154.71717392417997,1,0.0011696097542561734
3,8,1,50194,404.0,578.0,0,0.0,241.35288786985257,241.35288926453225,1,0.0011696097542561734
3,8,1,50195,226.66666666666666,354.0,0,0.0,97.20547760058878,97.20548197147023,1,0.0011696097542561734
3,8,1,50196,231.66666666666666,362.0,0,0.0,126.58066463107292,126.58066463513131,1,0.0011696097542561734
3,8,1,50197,243.33333333333334,318.0,0,0.0,141.60120275996155,141.60121647159167,1,0.0011696097542561734
3,8,1,50198,229.0,274.0,0,0.0,118.09852884600639,118.09852884748865,1,0.0011696097542561734
3,8,1,50199,170.66666666666666,235.0,0,8.141635513917814e-15,95.53574175747382,95.53586238594119,1,0.0011696097542561734
3,8,4,50000,103.66666666666667,200.0,0,0.0,234.5740983622419,234.5740983622419,1,0.0011696097542561734
3,8,4,50001,72.33333333333333,82.0,0,0.0,161.62250878061738,161.62250878061738,1,0.0011696097542561734
3,8,4,50002,44.666666666666664,65.0,0,0.0,102.38198299154523,102.38198299154523,1,0.0011696097542561734
3,8,4,50003,150.66666666666666,342.0,0,0.0,503.81580181234114,503.81580181234114,1,0.0011696097542561734
3,8,4,50004,60.666666666666664,98.0,0,0.0,148.27135655109282,148.27135655109282,1,0.0011696097542561734
3,8,4,50005,68.0,95.0,0,0.0,153.71675230533825,153.71675230533825,1,0.0011696097542561734
3,8,4,50006,94.33333333333333,108.0,0,0.0,240.19552044884085,240.19552044884085,1,0.0011696097542561734
3,8,4,50007,100.0,137.0,0,0.0,252.11983811042788,252.11983811042788,1,0.0011696097542561734
3,8,4,50008,61.666666666666664,91.0,0,0.0,98.09951608802096,98.09951608802096,1,0.0011696097542561734
3,8,4,50009,48.666666666666664,75.0,0,0.0,89.69247127592594,89.69247127592594,1,0.0011696097542561734
3,8,4,50010,64.33333333333333,82.0,0,0.0,158.66932377603675,158.66932377603675,1,0.0011696097542561734
3,8,4,50011,47.333333333333336,58.0,0,0.0,94.60318334996002,94.60318334996002,1,0.0011696097542561734
3,8,4,50012,76.0,152.0,0,0.0,135.4638207460868,135.4638207460868,1,0.0011696097542561734
3,8,4,50013,49.333333333333336,60.0,0,0.0,109.15292749843525,109.15292749843525,1,0.0011696097542561734
3,8,4,50014,150.33333333333334,239.0,0,0.0,372.93140633388083,372.93140633388083,1,0.0011696097542561734
