experiment,model,family,algorithm,episode_k,n_seeds,cumulative_regret_mean,cumulative_regret_std,cumulative_regret_sem,instant_regret_mean,source
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,9,5,13.068,8.66140693,3.873498935,1.324,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,10,5,14.462,9.632521477,4.307794563,1.394,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,11,5,15.876,10.57464089,4.729123175,1.414,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,12,5,17.27,11.5467333,5.163856117,1.394,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,13,5,18.474,12.46103246,5.572743131,1.204,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,14,5,19.868,13.43248748,6.007191024,1.394,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,15,5,21.262,14.40430387,6.441800525,1.394,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,16,5,22.656,15.37641311,6.876540991,1.394,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,17,5,24.05,16.21305184,7.250697208,1.394,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,18,5,25.364,17.17345131,7.680200909,1.314,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,19,5,26.948,17.93775683,8.022008726,1.584,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,iql,20,5,28.342,18.9099926,8.45680578,1.394,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,1,5,1.71,0.5054700782,0.2260530911,1.71,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,2,5,3.44,0.5296225071,0.2368543856,1.73,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,3,5,4.57,0.8592147578,0.3842525211,1.13,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,4,5,5.99,1.348332303,0.6029925373,1.42,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,5,5,7.216,1.653641436,0.7395309324,1.226,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,6,5,8.466,1.787604542,0.7994410547,1.25,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,7,5,9.836,1.640344476,0.733584351,1.37,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,8,5,11.166,1.614475147,0.7220152353,1.33,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,9,5,12.866,2.157667722,0.96493834,1.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,10,5,14.376,2.706959549,1.210589113,1.51,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,11,5,15.902,3.07543818,1.375377766,1.526,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,12,5,17.322,3.763803927,1.683224287,1.42,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,13,5,18.802,4.049576521,1.811025676,1.48,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,14,5,19.912,4.212009022,1.883667699,1.11,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,random,15,5,21.102,4.329095749,1.936030475,1.19,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
