model,model_snapshot,algorithm,family,seed_index,rng_seed,true_types,initial_state_id,final_cumulative_regret,matched_seed,source_file
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,2,2,3|1|0,fixed_hp_spgg_initial_state,0.9999999999999964,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,3,3,3|0|0,fixed_hp_spgg_initial_state,10.300000000000011,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,4,4,2|3|3,fixed_hp_spgg_initial_state,0.14999999999999947,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,5,5,2|3|0,fixed_hp_spgg_initial_state,3.2499999999999982,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,6,6,1|2|2,fixed_hp_spgg_initial_state,0.6499999999999999,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,7,7,3|2|2,fixed_hp_spgg_initial_state,1.0000000000000053,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,8,8,2|1|0,fixed_hp_spgg_initial_state,6.449999999999997,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
DeepSeek-V3.2,DeepSeek-V3.2,econ_bne,LLM-coordination,9,9,1|3|3,fixed_hp_spgg_initial_state,0.14999999999999947,True,analysis\e_a_matched_likelihood\matched_s10\external\DeepSeek_V3_2_econ_bne.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,0,0,3|2|2,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,1,1,1|2|3,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,2,2,3|1|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,3,3,3|0|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,4,4,2|3|3,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,5,5,2|3|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,6,6,1|2|2,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,7,7,3|2|2,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,8,8,2|1|0,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,oracle,native,9,9,1|3|3,fixed_hp_spgg_initial_state,0.0,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,hpsmg_plus,native,0,0,3|2|2,fixed_hp_spgg_initial_state,0.1499999999999999,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
GPT-5.4-nano,gpt-5.4-nano-20260317,hpsmg_plus,native,1,1,1|2|3,fixed_hp_spgg_initial_state,0.2200000000000002,True,analysis\e_a_matched_likelihood\matched_s10\native\gpt_5_4_nano_20260317.npz
