phase,H,n,m,seed,agent,true_type,first_turn,censored,rho_action,first_episode
type_horizon,1,3,4,2081,2,0,14.0,False,0.07433819726669055,14
type_horizon,1,3,4,2082,0,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2082,1,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2082,2,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2083,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2083,1,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2083,2,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2084,0,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2084,1,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2084,2,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2085,0,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2085,1,0,28.0,False,0.07433819726669055,28
type_horizon,1,3,4,2085,2,0,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2086,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2086,1,0,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2086,2,3,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2087,0,0,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2087,1,1,9.0,False,0.07433819726669055,9
type_horizon,1,3,4,2087,2,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2088,0,0,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2088,1,0,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2088,2,2,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2089,0,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2089,1,1,13.0,False,0.07433819726669055,13
type_horizon,1,3,4,2089,2,3,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2090,0,2,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2090,1,2,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2090,2,3,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2091,0,0,10.0,False,0.07433819726669055,10
type_horizon,1,3,4,2091,1,1,26.0,False,0.07433819726669055,26
type_horizon,1,3,4,2091,2,0,12.0,False,0.07433819726669055,12
type_horizon,1,3,4,2092,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2092,1,1,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2092,2,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2093,0,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2093,1,3,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2093,2,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2094,0,0,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2094,1,0,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2094,2,1,11.0,False,0.07433819726669055,11
type_horizon,1,3,4,2095,0,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2095,1,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2095,2,2,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2096,0,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2096,1,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2096,2,0,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2097,0,3,1.0,False,0.07433819726669055,1
type_horizon,1,3,4,2097,1,1,16.0,False,0.07433819726669055,16
type_horizon,1,3,4,2097,2,0,34.0,False,0.07433819726669055,34
type_horizon,1,3,4,2098,0,2,4.0,False,0.07433819726669055,4
type_horizon,1,3,4,2098,1,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2098,2,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2099,0,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2099,1,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2099,2,1,7.0,False,0.07433819726669055,7
type_horizon,1,3,4,2100,0,0,40.0,False,0.07433819726669055,40
type_horizon,1,3,4,2100,1,2,3.0,False,0.07433819726669055,3
type_horizon,1,3,4,2100,2,2,5.0,False,0.07433819726669055,5
type_horizon,1,3,4,2101,0,1,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2101,1,3,2.0,False,0.07433819726669055,2
type_horizon,1,3,4,2101,2,0,8.0,False,0.07433819726669055,8
type_horizon,1,3,4,2102,0,0,6.0,False,0.07433819726669055,6
type_horizon,1,3,4,2102,1,3,4.0,False,0.07433819726669055,4
