rho,g,n,m,K,lambda,seed,arm,cum_regret,corr_tv,unelicited_frac,realized_rule_corr,n_llm_calls,belief_entries,belief_bytes,beta,joint_prior,regret_source,harp_harp_s_action_mismatches,harp_harp_s_equal_regret_trace_despite_action_mismatch
0.0,4,8,2,20,0.0,15,harp,14.869999999999997,0.0,0.44375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False
0.0,4,8,2,20,0.0,15,harp_s,14.869999999999997,0.0,0.44375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False
0.0,4,8,2,20,0.0,16,oracle,0.0,0.0,0.425,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False
0.0,4,8,2,20,0.0,16,joint,6.660000000000004,0.0,0.425,0.5,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False
0.0,4,8,2,20,0.0,16,harp,11.449999999999996,0.0,0.425,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False
0.0,4,8,2,20,0.0,16,harp_s,11.449999999999996,0.0,0.425,0.5,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False
0.0,4,8,2,20,0.0,17,oracle,0.0,0.0,0.44375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False
0.0,4,8,2,20,0.0,17,joint,5.27,0.0,0.44375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False
0.0,4,8,2,20,0.0,17,harp,4.280000000000001,0.0,0.44375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False
0.0,4,8,2,20,0.0,17,harp_s,4.280000000000001,0.0,0.44375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False
0.0,4,8,2,20,0.0,18,oracle,0.0,0.0,0.7125,0.6666666666666666,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False
0.0,4,8,2,20,0.0,18,joint,3.0,0.0,0.7125,0.6666666666666666,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False
0.0,4,8,2,20,0.0,18,harp,4.5,0.0,0.7125,0.6666666666666666,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False
0.0,4,8,2,20,0.0,18,harp_s,4.5,0.0,0.7125,0.6666666666666666,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False
0.0,4,8,2,20,0.0,19,oracle,0.0,0.0,0.4375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False
0.0,4,8,2,20,0.0,19,joint,1.5000000000000036,0.0,0.4375,0.4166666666666667,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False
0.0,4,8,2,20,0.0,19,harp,0.0,0.0,0.4375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False
0.0,4,8,2,20,0.0,19,harp_s,0.0,0.0,0.4375,0.4166666666666667,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False
1.0,4,8,2,20,0.0,0,oracle,0.0,0.9999875750950924,0.49375,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,4,True
1.0,4,8,2,20,0.0,0,joint,0.0,0.9999875750950924,0.49375,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,4,True
1.0,4,8,2,20,0.0,0,harp,0.0,0.9999875750950924,0.49375,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,4,True
1.0,4,8,2,20,0.0,0,harp_s,0.0,0.9999875750950924,0.49375,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,4,True
1.0,4,8,2,20,0.0,1,oracle,0.0,0.9999986385383233,0.61875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,2,False
1.0,4,8,2,20,0.0,1,joint,9.639999999999993,0.9999986385383233,0.61875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,2,False
1.0,4,8,2,20,0.0,1,harp,7.089999999999993,0.9999986385383233,0.61875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,2,False
1.0,4,8,2,20,0.0,1,harp_s,5.689999999999994,0.9999986385383233,0.61875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,2,False
1.0,4,8,2,20,0.0,2,oracle,0.0,0.999992581439465,0.5125,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,0,False
1.0,4,8,2,20,0.0,2,joint,0.0,0.999992581439465,0.5125,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,0,False
1.0,4,8,2,20,0.0,2,harp,0.0,0.999992581439465,0.5125,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,0,False
1.0,4,8,2,20,0.0,2,harp_s,0.0,0.999992581439465,0.5125,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,0,False
1.0,4,8,2,20,0.0,3,oracle,0.0,0.9999868591112959,0.66875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,5,False
1.0,4,8,2,20,0.0,3,joint,1.5,0.9999868591112959,0.66875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,5,False
1.0,4,8,2,20,0.0,3,harp,4.82,0.9999868591112959,0.66875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,5,False
1.0,4,8,2,20,0.0,3,harp_s,0.0,0.9999868591112959,0.66875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,5,False
1.0,4,8,2,20,0.0,4,oracle,0.0,0.9999779216678173,0.46875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,5,False
1.0,4,8,2,20,0.0,4,joint,0.0,0.9999779216678173,0.46875,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,5,False
1.0,4,8,2,20,0.0,4,harp,0.35999999999999943,0.9999779216678173,0.46875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,5,False
1.0,4,8,2,20,0.0,4,harp_s,0.0,0.9999779216678173,0.46875,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,5,False
1.0,4,8,2,20,0.0,5,oracle,0.0,0.9999458942834776,0.575,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - oracle_utility_trace,5,False
1.0,4,8,2,20,0.0,5,joint,0.7800000000000011,0.9999458942834776,0.575,1.0,0,385,3080,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - joint_utility_trace,5,False
1.0,4,8,2,20,0.0,5,harp,2.150000000000002,0.9999458942834776,0.575,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_utility_trace,5,False
1.0,4,8,2,20,0.0,5,harp_s,0.0,0.9999458942834776,0.575,1.0,0,128,1024,0.25,global two-component pi_rho=(1-rho)*pi_independent+rho*pi_group_shared over full 16-type personas,oracle_utility_trace - harp_s_utility_trace,5,False
